prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Germany is, Berlin,0.195312,14,34.37,5.3116,6.2457,1.1693,103.3784,55.1657,116.6207,0.832879,0.914398,1789.7346
1,The capital of France is, Paris,0.090820,14,35.31,5.2934,6.1948,1.1707,103.5606,55.2959,117.1057,0.832983,0.914219,1856.6671
2,The capital of Japan is, Tokyo,0.118164,14,33.36,5.2589,5.6872,1.1738,103.3813,55.1890,116.9818,0.833495,0.914443,1826.1022
3,The capital of Italy is, in,0.255859,14,33.33,5.3102,6.2947,1.1734,102.9828,55.1932,117.1402,0.833367,0.913876,1859.3807
4,The capital of Spain is, Madrid,0.133789,14,33.83,5.3977,6.7964,1.1736,103.1584,55.1214,117.6132,0.834734,0.914195,1896.5283
5,The capital of Brazil is, known,0.110840,14,33.24,5.3275,6.3549,1.1740,103.1945,55.3291,116.8672,0.834348,0.913616,1797.2897
6,The capital of Russia is, in,0.107422,14,33.30,5.3189,6.2890,1.1733,102.9310,55.0951,117.3097,0.834545,0.914423,1892.3759
7,The capital of China is, ______,0.127930,14,33.56,5.3091,6.6425,1.1733,103.3422,55.2921,117.1401,0.834190,0.914278,1834.5039
8,The capital of Australia is, \,0.182617,14,34.56,5.2759,5.7917,1.1733,102.5303,55.1869,117.3831,0.834486,0.914378,1891.6727
9,The capital of Canada is, __,0.131836,14,33.20,5.3148,5.8026,1.1760,103.3614,55.2497,117.2616,0.834001,0.914091,1868.5530
10,The capital of Egypt is, __,0.088379,14,33.32,5.3335,6.6172,1.1801,102.9657,55.3007,117.2242,0.832852,0.914118,1845.6428
11,The capital of India is, New,0.174805,14,33.23,5.3408,6.0174,1.1714,103.6411,55.2559,117.2596,0.833526,0.914116,1856.7671
