prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,2 + 2 =, ,220,0.832031," | ?

| ?| ?
|4",0.832031|0.063965|0.025146|0.013428|0.004639,5,2| +| |2| =,17|488|220|17|284,37194.08
1,1 + 3 =, ,220,0.976562," |4| ?

| \| -",0.976562|0.005127|0.003296|0.001770|0.001564,5,1| +| |3| =,16|488|220|18|284,32282.83
2,8 - 4 =, ,220,0.957031," | ?

| \| -|4",0.957031|0.009338|0.005676|0.004150|0.003235,5,8| -| |4| =,23|481|220|19|284,35770.16
3,8 / 2 =, ,220,0.933594," | ?

|4| ?| (",0.933594|0.024902|0.004913|0.004608|0.004333,5,8| /| |2| =,23|608|220|17|284,40609.85
4,2 * 2 =, ,220,0.953125," |4| ?

| ?| ?
",0.953125|0.016357|0.008240|0.002518|0.002213,5,2| *| |2| =,17|353|220|17|284,40734.88
5,The result of adding 2 and 2 is, ,220,0.683594, | four| a| what| not,0.683594|0.063477|0.033936|0.026489|0.017090,10,The| result| of| adding| |2| and| |2| is,785|1102|315|7842|220|17|323|220|17|374,34356.97
6,If you add one and three you get, four,3040,0.906250, four| five| | two| a,0.906250|0.035156|0.006104|0.005737|0.005737,8,If| you| add| one| and| three| you| get,2679|498|912|825|323|2326|498|633,38334.40
7,Two plus two equals, four,3040,0.730469," four| what| five|...|?

",0.730469|0.098633|0.067871|0.012573|0.007629,4,Two| plus| two| equals,11613|5519|1378|16819,46813.72
8,Four minus zero is, four,3040,0.777344, four| equal| what| not|...,0.777344|0.072266|0.020630|0.019409|0.008118,4,Four| minus| zero| is,26972|27283|7168|374,40584.26
9,The square root of sixteen is, four,3040,0.785156, four| | equal| x| what,0.785156|0.082520|0.039062|0.009888|0.007690,6,The| square| root| of| sixteen| is,785|9334|3704|315|58039|374,37927.55
