prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Germany is, Berlin,0.699219,5,21734.01,3.5571,2.7235,1.6701,175.7892,237.5548,386.6355,0.943089,0.963000,8373.9307
1,The capital of France is, Paris,0.640625,5,22653.27,3.4947,2.9133,1.6760,177.4839,238.1171,382.9510,0.942203,0.962539,7981.2314
2,The capital of Japan is, Tokyo,0.527344,5,21481.86,3.6934,3.9160,1.6730,177.2982,238.2304,386.4879,0.942321,0.963359,8246.2432
3,The capital of Italy is, Rome,0.769531,5,22076.63,3.4386,2.2184,1.6617,175.8743,238.0627,386.3360,0.942328,0.963054,8236.4258
4,The capital of Spain is, Madrid,0.570312,5,21631.84,3.7235,3.6053,1.6584,177.7675,238.0443,385.5131,0.942508,0.963386,8202.2363
5,The capital of Brazil is, a,0.167969,5,21995.70,4.1426,5.5558,1.6542,179.4351,238.9055,388.6601,0.942461,0.962388,8321.6699
6,The capital of Russia is, Moscow,0.562500,5,21975.11,3.7334,3.5341,1.6617,177.1060,237.3603,383.8896,0.943228,0.963163,8047.2949
7,The capital of China is, Beijing,0.332031,5,22311.62,3.7481,4.2695,1.6828,175.2640,238.3443,389.6086,0.941641,0.962549,8579.1484
8,The capital of Australia is, Canberra,0.566406,5,21757.03,3.5550,3.3187,1.6707,175.6831,238.2697,386.6935,0.942525,0.962800,8495.5615
9,The capital of Canada is, Ottawa,0.292969,5,22467.94,3.8044,4.7772,1.6757,176.2865,238.3149,385.8013,0.942170,0.962280,8231.9707
10,The capital of Egypt is, Cairo,0.425781,5,27267.52,3.8543,4.3853,1.6632,176.5766,237.9298,384.4843,0.943268,0.963537,8251.7910
11,The capital of India is, New,0.361328,5,26821.86,3.8830,4.2866,1.6794,176.9405,238.2775,387.8501,0.942457,0.962807,8385.9209
