prompt_idx,prompt,predicted_next_token,n_tokens,tokens
0,The capital of Japan is, ,5,The| capital| of| Japan| is
1,Die Hauptstadt von Japan ist, ein,6,Die| Haupt|stadt| von| Japan| ist
2,La capitale du Japon est, ,7,La| capit|ale| du| J|apon| est
3,La capital de Japón es, ,7,La| capital| de| J|ap|ón| es
4,La capitale del Giappone è, ,8,La| capit|ale| del| Gi|app|one| è
5,A capital do Japão é, rot,7,A| capital| do| J|ap|ão| é
6,Столица Японии —, это,8,Ст|ол|и|ца| Я|пон|ии| —
7,日本の首都は,、,3,日本の|首都|は
8,日本的首都是,东京,4,日本|的|首|都是
9,일본의 수도는, �,5,일|본|의| 수도|는
