prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,2 + 2 =, ,220,0.318359," | ?
| ?

| __| ___",0.318359|0.193359|0.181641|0.052002|0.045898,14,"Important|:| only| reply| with| a| single| token|.
|2| +| |2| =",52280|25|1172|9851|448|264|3175|3950|624|17|488|220|17|284,35.04
1,1 + 3 =, ,220,0.279297," | ?
| ?

| ___| __",0.279297|0.279297|0.180664|0.051758|0.040283,14,"Important|:| only| reply| with| a| single| token|.
|1| +| |3| =",52280|25|1172|9851|448|264|3175|3950|624|16|488|220|18|284,33.29
2,8 - 4 =, ,220,0.238281," | ?

| ?
| __| ______",0.238281|0.209961|0.197266|0.082520|0.063965,14,"Important|:| only| reply| with| a| single| token|.
|8| -| |4| =",52280|25|1172|9851|448|264|3175|3950|624|23|481|220|19|284,33.44
3,8 / 2 =, ,220,0.496094," | ?

| ?
| __| ______",0.496094|0.142578|0.097656|0.040771|0.035889,14,"Important|:| only| reply| with| a| single| token|.
|8| /| |2| =",52280|25|1172|9851|448|264|3175|3950|624|23|608|220|17|284,33.45
4,2 * 2 =, ,220,0.488281," | ?

| ?
| (| __",0.488281|0.131836|0.116211|0.042725|0.040039,14,"Important|:| only| reply| with| a| single| token|.
|2| *| |2| =",52280|25|1172|9851|448|264|3175|3950|624|17|353|220|17|284,33.26
5,The result of adding 2 and 2 is, \,1124,0.343750," \| |...|...

|...
",0.343750|0.184570|0.086914|0.052734|0.046631,19,"Important|:| only| reply| with| a| single| token|.
|The| result| of| adding| |2| and| |2| is",52280|25|1172|9851|448|264|3175|3950|624|785|1102|315|7842|220|17|323|220|17|374,33.92
6,If you add one and three you get, four,3040,0.929688, four|...| what| | ...,0.929688|0.019287|0.004303|0.004059|0.003571,17,"Important|:| only| reply| with| a| single| token|.
|If| you| add| one| and| three| you| get",52280|25|1172|9851|448|264|3175|3950|624|2679|498|912|825|323|2326|498|633,33.62
7,Two plus two equals, what,1128,0.275391," what| four|...| __|...
",0.275391|0.275391|0.079102|0.027344|0.025635,13,"Important|:| only| reply| with| a| single| token|.
|Two| plus| two| equals",52280|25|1172|9851|448|264|3175|3950|624|11613|5519|1378|16819,33.34
8,Four minus zero is, equal,6144,0.337891, equal|...| four| what| ______,0.337891|0.085449|0.051758|0.045654|0.029419,13,"Important|:| only| reply| with| a| single| token|.
|Four| minus| zero| is",52280|25|1172|9851|448|264|3175|3950|624|26972|27283|7168|374,33.25
9,The square root of sixteen is, four,3040,0.250000, four|...| \| two| sixteen,0.250000|0.092285|0.081543|0.067383|0.036133,15,"Important|:| only| reply| with| a| single| token|.
|The| square| root| of| sixteen| is",52280|25|1172|9851|448|264|3175|3950|624|785|9334|3704|315|58039|374,33.50
