prompt_idx,prompt,predicted_next_token,n_tokens,tokens
0,The capital of Germany is, ,5,The| capital| of| Germany| is
1,The capital of France is, Paris,5,The| capital| of| France| is
2,The capital of Japan is, ,5,The| capital| of| Japan| is
3,The capital of Italy is, ,5,The| capital| of| Italy| is
4,The capital of Spain is, ,5,The| capital| of| Spain| is
5,The capital of Brazil is, ,5,The| capital| of| Brazil| is
6,The capital of Russia is, ,5,The| capital| of| Russia| is
7,The capital of China is, ,5,The| capital| of| China| is
8,The capital of Australia is, ,5,The| capital| of| Australia| is
9,The capital of Canada is," """,5,The| capital| of| Canada| is
10,The capital of Egypt is, invested,5,The| capital| of| Egypt| is
11,The capital of India is, a,5,The| capital| of| India| is
